ID,Name,Longitude,Latitude,Lines
2258,At 1269 MOHAWK,-79.93217,43.23323,
355372,At 1275 RYMAL,-79.83703,43.18877,
355404,At 1280 RYMAL,-79.83617,43.18849,
2257,At 1288 MOHAWK,-79.93168,43.23312,
355465,At 1290 CORMORANT,-80.02050,43.18897,
2674,At 1320 STONE CHURCH EAST,-79.83160,43.19701,
355539,At 1325 CORMORANT,-80.02551,43.18777,
1196,At 1330 BURLINGTON,-79.80934,43.25949,
355543,At 1349 SANDHILL,-80.02785,43.19247,
2015,At 1350 LIMERIDGE,-79.82377,43.20469,
355534,At 1354 SANDHILL,-80.02779,43.19276,
355541,At 1362 OSPREY,-80.02629,43.19040,
355536,At 1363  OSPREY,-80.02641,43.19046,
1514,At 1440 GARTH,-79.90928,43.21418,
355751,At 1441 UPPER JAMES,-79.89045,43.20821,
2790,At 1441 UPPER JAMES,-79.89045,43.20821,
355752,At 1452 UPPER JAMES,-79.89062,43.20819,
2791,At 1452 UPPER JAMES,-79.89062,43.20819,
2736,At 1475 UPPER GAGE,-79.85148,43.19861,
2021,At 150 LIMERIDGE,-79.89228,43.22174,
2684,At 1520 STONE CHURCH,-79.82235,43.19482,
2861,At 1527 UPPER OTTAWA,-79.84272,43.19356,
355824,At 1651 WATERDOWN,-79.87262,43.32121,
1199,At 1755 BURLINGTON,-79.78987,43.25686,
2333,At 180 NEBO,-79.83711,43.19324,
1200,At 1818 BURLINGTON,-79.78726,43.25660,
1201,At 1835 BURLINGTON,-79.78718,43.25697,
2022,At 190 LIMERIDGE,-79.89405,43.22219,
1501,At 194 GAGE,-79.83113,43.24232,
2118,At 1950 MAIN,-79.94225,43.24868,
2023,At 195 LIMERIDGE,-79.89422,43.22211,
2119,At 1983 MAIN,-79.94314,43.24720,
355782,At 198 BARTON,-79.73673,43.23180,
2120,At 2000 MAIN,-79.94343,43.24709,
1154,At 203 BEACH,-79.77556,43.26897,
355850,At 211 PRITCHARD,-79.81850,43.19552,
355470,At 2260 RYMAL,-79.77935,43.17381,
355292,At 240 STONE CHURCH,-79.90054,43.21403,
1038,At 2434 BARTON,-79.76207,43.23738,
1468,At 250 FENNELL,-79.88864,43.24049,
1867,At 251 KING,-79.73848,43.21690,
1040,At 2553 BARTON,-79.75504,43.23561,
1868,At 256 KING,-79.73811,43.21674,
2260,At 261 MOHAWK,-79.89125,43.23074,
2261,At 263 MOHAWK,-79.89161,43.23082,
1893,At 2673 KING,-79.77968,43.22203,
2025,At 273 LIMERIDGE,-79.89767,43.22295,
1042,At 2772 BARTON,-79.74499,43.23334,
1609,At 291 GRAYS,-79.74080,43.23141,
1610,At 298 GRAYS,-79.74068,43.23135,
355777,At 307 HIGHWAY 8,-79.73083,43.22027,
1299,At 370 CHARLTON,-79.88907,43.25396,
1494,At 377 GAGE,-79.82331,43.26079,
3113,At 431 WHITNEY,-79.93875,43.25129,
1304,At 47 CHATHAM,-79.88838,43.25466,
1691,At 490 HIGHWAY 8,-79.71635,43.21639,
355910,At 50 HORSESHOE,-79.91587,43.31637,
355871,At 50 HORSESHOE,-79.91587,43.31637,
2001,At 50 LAWRENCE,-79.83119,43.23884,
2433,At 549 PLAINS,-79.87000,43.29290,
1033,At 560 ARVIN,-79.70632,43.22717,
1034,At 576 ARVIN,-79.70427,43.22668,
1032,At 596 ARVIN,-79.70231,43.22623,
1666,At 610 HIGHWAY 8,-79.70694,43.21406,
1667,At 613 HIGHWAY 8,-79.70664,43.21416,
2863,At 633 UPPER OTTAWA,-79.83029,43.22345,
2864,At 638 UPPER OTTAWA,-79.83055,43.22329,
2545,At 70 RICE,-79.91673,43.23534,
2956,At 727 UPPER SHERMAN,-79.85021,43.22518,
2262,At 760 MOHAWK,-79.92072,43.23374,
1215,At 796 BURLINGTON,-79.82971,43.26460,
2737,At 801 UPPER GAGE,-79.84239,43.22009,
2219,At 831 MOHAWK,-79.83511,43.21722,
3030,At 841 UPPER WENTWORTH,-79.86226,43.22213,
3031,At 848 UPPER WENTWORTH,-79.86261,43.22211,
2738,At 877 UPPER GAGE,-79.84340,43.21774,
2264,At 924 MOHAWK,-79.92679,43.23359,
2491,At 940 QUEENSTON,-79.75252,43.22527,
2492,At 943 QUEENSTON,-79.75280,43.22554,
1983,At 944 LAKESHORE,-79.79872,43.30353,
2218,At 977 MOHAWK,-79.82719,43.21535,
3189,At WOODLAND CEMETERY,-79.87902,43.28692,
1036,AUGUSTA at JAMES,-79.87046,43.25199,
1037,AUGUSTA at JOHN,-79.86880,43.25160,
1043,BARTON at ADELINE,-79.79103,43.24559,
1044,BARTON at AGNES,-79.81272,43.25058,
1129,BARTON at APPLE,-79.72605,43.22887,
1045,BARTON at BARNESDALE,-79.83334,43.25571,
1046,BARTON at BARNESDALE,-79.83320,43.25582,
1051,BARTON at BIRCH,-79.84002,43.25745,
1052,BARTON at BIRCH,-79.83963,43.25750,
1053,BARTON at BOW VALLEY,-79.74829,43.23397,
1055,BARTON at BROCKLEY,-79.74686,43.23395,
1056,BARTON at CAVELL,-79.82420,43.25334,
1057,BARTON at CAVELL,-79.82381,43.25341,
1058,BARTON at CENTENNIAL,-79.76154,43.23704,
1059,BARTON at CENTENNIAL,-79.76006,43.23681,
1088,BARTON at CHAPPLE,-79.82838,43.25457,
1060,BARTON at CHESTNUT,-79.83807,43.25691,
1061,BARTON at COPE,-79.80185,43.24814,
1062,BARTON at COPE,-79.80147,43.24822,
1063,BARTON at COVINGTON,-79.75747,43.23622,
355928,BARTON at DEWITT,-79.71094,43.22493,
1131,BARTON at DEWITT,-79.70975,43.22476,
1064,BARTON at EARL,-79.83782,43.25700,
1132,BARTON at EASTDALE,-79.73469,43.23134,
1065,BARTON at EMERALD,-79.85077,43.26044,
1066,BARTON at EMERALD,-79.85103,43.26036,
355413,BARTON at FAIRFIELD,-79.79880,43.24747,
1069,BARTON at FERGUSON,-79.85839,43.26220,
1068,BARTON at FERGUSON,-79.85855,43.26242,
1071,BARTON at FREDERICK,-79.81110,43.25023,
355746,BARTON at FRUITLAND,-79.70063,43.22261,
1073,BARTON at GAGE,-79.82636,43.25385,
1074,BARTON at GAGE,-79.82646,43.25402,
1076,BARTON at GRAYS,-79.73987,43.23257,
1075,BARTON at GRAYS,-79.74082,43.23256,
1135,BARTON at GREEN,-79.72994,43.22993,
1136,BARTON at GREEN,-79.73017,43.23022,
1137,BARTON at HALE,-79.72297,43.22800,
1078,BARTON at HARMONY,-79.80417,43.24883,
1077,BARTON at HARMONY,-79.80432,43.24872,
1139,BARTON at HILTON,-79.72507,43.22875,
355801,BARTON at HUGHSON,-79.86433,43.26375,
1079,BARTON at HUGHSON,-79.86433,43.26375,
356011,BARTON at JOHN,-79.86251,43.26321,
1082,BARTON at KENILWORTH,-79.80686,43.24949,
1081,BARTON at KENILWORTH,-79.80645,43.24919,
1083,BARTON at KENORA,-79.76576,43.23802,
1084,BARTON at KENORA,-79.76520,43.23809,
1086,BARTON at LAKE,-79.75238,43.23503,
1085,BARTON at LAKE,-79.75297,43.23492,
1141,BARTON at LEASIDE,-79.71656,43.22649,
1087,BARTON at LEINSTER,-79.82879,43.25452,
1089,BARTON at LINCOLN,-79.82140,43.25284,
1091,BARTON at LOTTRIDGE,-79.83108,43.25530,
1093,BARTON at MARY,-79.86034,43.26266,
1092,BARTON at MARY,-79.86049,43.26287,
355811,BARTON at MELROSE,-79.83041,43.25500,
1144,BARTON at MILLEN,-79.71923,43.22718,
1143,BARTON at MILLEN,-79.71988,43.22712,
1094,BARTON at MILTON,-79.84144,43.25798,
2316,BARTON at NASH,-79.77109,43.23922,
1095,BARTON at NASH,-79.77100,43.23920,
1096,BARTON at NASH,-79.77139,43.23944,
1097,BARTON at OSBORNE,-79.77617,43.24237,
356102,BARTON at OTTAWA,-79.81589,43.25130,
1099,BARTON at OTTAWA,-79.81583,43.25139,
1101,BARTON at PARKDALE,-79.78892,43.24508,
1145,BARTON at PURITAN,-79.71385,43.22567,
1103,BARTON at ROBINS,-79.80833,43.24962,
1106,BARTON at ROSSLYN,-79.81954,43.25237,
1105,BARTON at ROSSLYN,-79.81933,43.25217,
1108,BARTON at SANFORD,-79.84320,43.25831,
1107,BARTON at SANFORD,-79.84374,43.25860,
1110,BARTON at SHERMAN,-79.83598,43.25652,
1109,BARTON at SHERMAN,-79.83632,43.25642,
1112,BARTON at ST. MATTHEWS,-79.84843,43.25983,
1114,BARTON at STRATHEARNE,-79.79638,43.24686,
1113,BARTON at STRATHEARNE,-79.79705,43.24687,
1115,BARTON at TALBOT,-79.77485,43.24189,
1116,BARTON at TOLTON,-79.79451,43.24628,
1117,BARTON at VARGA,-79.74659,43.23370,
1118,BARTON at VICTORIA,-79.85353,43.26112,
355505,BARTON at VICTORIA,-79.85298,43.26087,
1121,BARTON at WAVERLY,-79.77818,43.24255,
1122,BARTON at WAVERLY,-79.77763,43.24270,
1124,BARTON at WELLINGTON,-79.85568,43.26168,
1125,BARTON at WELLINGTON,-79.85570,43.26155,
1126,BARTON at WENTWORTH,-79.84568,43.25916,
1127,BARTON at WENTWORTH,-79.84567,43.25897,
355288,BARTON opposite BELL MANOR,-79.74319,43.23316,
1054,BARTON opposite BOW VALLEY,-79.74834,43.23422,
1130,BARTON opposite CHELSEA,-79.70357,43.22331,
1102,BARTON opposite COVINGTON,-79.75857,43.23628,
1133,BARTON opposite EASTDALE,-79.73415,43.23137,
1067,BARTON opposite FAIRFIELD,-79.79852,43.24725,
1070,BARTON opposite FRASER,-79.81319,43.25089,
1072,BARTON opposite FREDERICK,-79.81138,43.25048,
1138,BARTON opposite HALE,-79.72265,43.22807,
1140,BARTON opposite LEASIDE,-79.71651,43.22627,
1050,BARTON opposite LINCOLN,-79.82169,43.25276,
1146,BARTON opposite PURITAN,-79.71420,43.22590,
1104,BARTON opposite ROBINS,-79.80894,43.24995,
1111,BARTON opposite ST. MATTHEWS,-79.84855,43.25972,
1120,BARTON opposite WALTER,-79.79324,43.24612,
355565,BAY at KING,-79.87358,43.25824,
355566,BAY at KING,-79.87358,43.25824,
1149,BAY at VINE,-79.87270,43.26054,
1147,BAY opposite GEORGE,-79.87400,43.25722,
355448,BAY opposite GEORGE,-79.87400,43.25722,
355454,BAY opposite GEORGE,-79.87400,43.25722,
1175,BEACH at ALBEMARLE,-79.82227,43.25769,
1176,BEACH at ALBEMARLE,-79.82236,43.25780,
1177,BEACH at BAYFIELD,-79.80938,43.25591,
1161,BEACH at COMET,-79.78459,43.28033,
1158,BEACH at EASTPORT,-79.79345,43.29382,
1152,BEACH at FITCH,-79.77854,43.27245,
1159,BEACH at FOURTH,-79.78930,43.28750,
355964,BEACH at HAMILTON BEACH RESCUE UNIT,-79.77847,43.27209,
1163,BEACH at LOCARNO,-79.78698,43.28420,
1164,BEACH at LOCARNO,-79.78742,43.28454,
1179,BEACH at OTTAWA,-79.81565,43.25499,
1165,BEACH at PANDORA,-79.79125,43.29107,
1166,BEACH at REMBE,-79.78629,43.28282,
1180,BEACH at ROWANWOOD,-79.82060,43.25698,
1167,BEACH at SIERRA,-79.78188,43.27680,
1169,BEACH at THIRD,-79.79018,43.28916,
1171,BEACH at TOWERS,-79.78030,43.27446,
1173,BEACH at VAN WAGNERS BEACH,-79.77237,43.26543,
1174,BEACH at VAN WAGNERS BEACH,-79.77250,43.26530,
1181,BEACH at WOODLEIGH,-79.81089,43.25588,
1156,BEACH opposite COMET,-79.78429,43.28017,
355457,BEACH opposite DIEPPE MEMORIAL,-79.79190,43.29188,
1160,BEACH opposite FOURTH,-79.78931,43.28720,
1178,BEACH opposite GATE 3,-79.81742,43.25568,
1153,BEACH opposite PANDORA,-79.79113,43.29049,
356111,BEACH opposite SIERRA,-79.78148,43.27601,
355938,BEACH opposite SKYWAY PARK,-79.77555,43.26873,
1170,BEACH opposite THIRD,-79.79035,43.28903,
1172,BEACH opposite TOWERS,-79.78010,43.27448,
1162,BEACH opposite WINDERMERE,-79.78568,43.28222,
1182,BELAND at DUNSMURE,-79.78757,43.23710,
356055,BELL MANOR LOOP PLATFORM 1,-79.74272,43.23293,
1048,BELL MANOR LOOP PLATFORM 2,-79.74279,43.23289,
1184,BOLD at JAMES,-79.87117,43.25263,
remix-d13ddc13-0466-485e-9f0e-a0a1a5c03d11,Bond at James,-79.97194,43.27051,
1185,BOND at KING,-79.97088,43.27148,
1188,BOTANICAL at SPRING GARDENS,-79.87584,43.28861,
1191,BRITANNIA at FAIRFIELD,-79.80011,43.24437,
1190,BRITANNIA at FAIRFIELD,-79.80041,43.24431,
1192,BRITANNIA at STRATHEARNE,-79.79848,43.24388,
1193,BRITANNIA at TRAGINA,-79.80227,43.24474,
356053,BRITANNIA opposite COPE,-79.80302,43.24503,
355890,BURKE at HUMPHREY,-79.88176,43.33833,
355857,BURKE at HUMPHREY,-79.88176,43.33833,
1202,BURLINGTON at BIRCH,-79.83435,43.26548,
1204,BURLINGTON at BIRMINGHAM,-79.82538,43.26354,
356057,BURLINGTON at DOFASCO,-79.80687,43.25939,
1197,BURLINGTON at DOFASCO DR,-79.80732,43.25904,
356085,BURLINGTON at FERGUSON,-79.85482,43.27125,
1207,BURLINGTON at FERGUSON,-79.85465,43.27106,
1205,BURLINGTON at GATE 10,-79.80687,43.25939,
1211,BURLINGTON at HILLYARD,-79.83995,43.26736,
1210,BURLINGTON at HILLYARD,-79.83956,43.26743,
355945,BURLINGTON at HOBSON,-79.79601,43.25664,
1212,BURLINGTON at HOBSON,-79.79579,43.25683,
1213,BURLINGTON at JOHN,-79.85921,43.27218,
1214,BURLINGTON at JOHN,-79.85950,43.27211,
1216,BURLINGTON at MARY,-79.85659,43.27161,
1217,BURLINGTON at MARY,-79.85664,43.27149,
1218,BURLINGTON at MCKINSTRY,-79.83769,43.26674,
1220,BURLINGTON at OTTAWA,-79.81281,43.26032,
1222,BURLINGTON at PARKDALE,-79.78406,43.25702,
1221,BURLINGTON at PARKDALE,-79.78451,43.25665,
1225,BURLINGTON at SHERMAN,-79.83274,43.26528,
1224,BURLINGTON at SHERMAN,-79.83216,43.26548,
1226,BURLINGTON at STAPLETON,-79.80362,43.25800,
1228,BURLINGTON at STRATHEARNE,-79.79318,43.25660,
1229,BURLINGTON at STRATHEARNE,-79.79300,43.25691,
1209,BURLINGTON at TIRE,-79.79863,43.25664,
1231,BURLINGTON at VICTORIA,-79.84917,43.26968,
1230,BURLINGTON at VICTORIA,-79.84898,43.26987,
1232,BURLINGTON at WELLINGTON,-79.85243,43.27050,
1235,BURLINGTON at WENTWORTH,-79.84243,43.26784,
1234,BURLINGTON at WENTWORTH,-79.84185,43.26800,
1239,BURLINGTON at WILFRED,-79.84463,43.26847,
1238,BURLINGTON at WILFRED,-79.84436,43.26855,
355291,BURLINGTON opposite 1755,-79.78966,43.25663,
1203,BURLINGTON opposite BIRCH,-79.83386,43.26592,
1219,BURLINGTON opposite MCKINSTRY,-79.83715,43.26688,
1227,BURLINGTON opposite STAPLETON,-79.80321,43.25828,
1208,BURLINGTON opposite TIRE,-79.79864,43.25719,
1233,BURLINGTON opposite WELLINGTON,-79.85247,43.27075,
1237,BURLINGTON opposite WILCOX,-79.82754,43.26411,
355831,CANNON at BALMORAL,-79.81995,43.24798,
1248,CANNON at BARNESDALE,-79.83511,43.25251,
1247,CANNON at BARNESDALE,-79.83446,43.25221,
1249,CANNON at BELMONT,-79.82292,43.24870,
1250,CANNON at BELVIEW,-79.82328,43.24890,
1251,CANNON at BIRCH,-79.84149,43.25437,
1252,CANNON at CAMERON,-79.80507,43.24493,
1253,CANNON at CAMERON,-79.80467,43.24516,
355439,CANNON at CATHARINE,-79.86321,43.25983,
1254,CANNON at EAST BEND,-79.82609,43.24943,
1256,CANNON at EDGEMONT,-79.81599,43.24711,
1258,CANNON at EMERALD,-79.85215,43.25713,
355438,CANNON at FERGUSON,-79.85995,43.25905,
1260,CANNON at FREDERICK,-79.81207,43.24637,
1261,CANNON at GAGE,-79.82802,43.24987,
1262,CANNON at GAGE,-79.82778,43.24995,
1263,CANNON at GIBSON,-79.84003,43.25398,
1264,CANNON at HESS,-79.87517,43.26259,
355440,CANNON at HUGHSON,-79.86536,43.26035,
1266,CANNON at KENILWORTH,-79.80762,43.24536,
1265,CANNON at KENILWORTH,-79.80750,43.24519,
1267,CANNON at LOTTRIDGE,-79.83296,43.25184,
1268,CANNON at LOTTRIDGE,-79.83263,43.25188,
1269,CANNON at OTTAWA,-79.81787,43.24749,
355830,CANNON at OTTAWA,-79.81705,43.24748,
3221,CANNON at QUEEN,-79.87710,43.26297,
1271,CANNON at ROBINS,-79.81036,43.24584,
1272,CANNON at ROBINS,-79.80992,43.24588,
1273,CANNON at ROSSLYN,-79.82071,43.24827,
1274,CANNON at SANFORD,-79.84466,43.25520,
1275,CANNON at SHERMAN,-79.83741,43.25317,
1276,CANNON at SMITH,-79.85025,43.25664,
356099,CANNON at TIM HORTONS FIELD,-79.83037,43.25077,
1277,CANNON at VICTORIA,-79.85443,43.25773,
355437,CANNON at WELLINGTON,-79.85749,43.25846,
1278,CANNON at WENTWORTH,-79.84713,43.25585,
1255,CANNON opposite EAST BEND,-79.82562,43.24945,
1257,CANNON opposite EDGEMONT,-79.81566,43.24718,
1259,CANNON opposite PROVINCE,-79.81281,43.24641,
356100,CANNON opposite TIM HORTONS FIELD,-79.83044,43.25063,
1242,CCIW at ADMINISTRATION BUILDING,-79.80067,43.29944,
1243,CCIW at TECHNOLOGY BUILDING,-79.80114,43.30072,
1280,CENTENNIAL at ARROWSMITH,-79.75936,43.23992,
1283,CENTENNIAL at BARTON,-79.76052,43.23662,
1282,CENTENNIAL at BARTON,-79.76031,43.23767,
1284,CENTENNIAL at DELAWANA,-79.76248,43.23266,
1285,CENTENNIAL at DELAWANA,-79.76242,43.23208,
1286,CENTENNIAL at EASTGATE,-79.76127,43.23519,
1287,CENTENNIAL at FELKER,-79.76544,43.22481,
1288,CENTENNIAL at GLENVIEW,-79.76611,43.22308,
355472,CENTENNIAL at KING,-79.76773,43.21906,
355473,CENTENNIAL at KING,-79.76780,43.21929,
1292,CENTENNIAL at NEIL,-79.76489,43.22666,
1293,CENTENNIAL at NEIL,-79.76473,43.22660,
1294,CENTENNIAL at ORLANDA,-79.76722,43.22074,
1296,CENTENNIAL at PLEASANT,-79.76628,43.22305,
1297,CENTENNIAL at QUEENSTON,-79.76360,43.22925,
355815,CENTENNIAL at VINEYARD,-79.76316,43.23049,
1298,CENTENNIAL at VIOLET,-79.76145,43.23447,
1281,CENTENNIAL opposite ARROWSMITH,-79.75926,43.23940,
1279,CENTENNIAL opposite FELKER,-79.76585,43.22417,
1290,CENTENNIAL opposite GODERICH,-79.75799,43.24240,
1295,CENTENNIAL opposite ORLANDA,-79.76711,43.22064,
355816,CENTENNIAL opposite VINEYARD,-79.76331,43.23046,
355754,CENTENNIAL WALMART PLATFORM 1,-79.75556,43.24244,
356007,CENTENNIAL WALMART PLATFORM 2,-79.75530,43.24252,
356071,CENTRE at AIRPORT,-79.93011,43.16010,
1300,CHARLTON at BAY,-79.87706,43.25101,
1301,CHARLTON at CAROLINE,-79.87848,43.25136,
1302,CHARLTON at DUNDURN,-79.89097,43.25441,
1303,CHARLTON at HESS,-79.88021,43.25179,
1306,CHATHAM at LOCKE,-79.88637,43.25420,
1307,CHEDMAC at CHEDMAC,-79.92202,43.23827,
355930,CHEDMAC at EXTENDICARE,-79.92118,43.23796,
1309,CHEDMAC at HOLBROOK BUILDING,-79.91794,43.23730,
1311,CHEDMAC at RICE,-79.91616,43.23674,
355293,CHEDMAC opposite HEPBURN,-79.92178,43.23912,
356101,CHEDMAC opposite REDFERN,-79.92136,43.24047,
1312,CHEDMAC opposite SOUTHRIDGE,-79.92040,43.23788,
1313,CHESLEY at CHESTER,-79.89610,43.21658,
1315,CHESLEY at STONE CHURCH,-79.89765,43.21350,
1316,CHESTER at ANNABELLE,-79.89392,43.21614,
355847,CHESTER at ANNABELLE,-79.89406,43.21610,
1317,CHESTER at CHESLEY,-79.89600,43.21664,
1318,CHESTER at WEST 5TH,-79.89262,43.21585,
1319,CHESTER at WEST 5TH,-79.89263,43.21571,
355872,CLAPPISON at DUNDAS,-79.91202,43.31830,
355906,CLAPPISON at DUNDAS,-79.91202,43.31830,
355898,CLAPPISON at DUNDAS,-79.91167,43.31817,
355909,CLAPPISON at DUNDAS,-79.91167,43.31817,
356029,CLAPPISON opposite HORSESHOE,-79.91344,43.31903,
1321,COCHRANE at DUNDONALD,-79.80584,43.22328,
1322,COCHRANE at HIXON,-79.80407,43.22746,
1323,COCHRANE at KING,-79.80267,43.23080,
1324,COCHRANE at LAWRENCE,-79.80352,43.22886,
1325,COCHRANE at MONTROSE,-79.80479,43.22575,
1326,CONCESSION at BELWOOD,-79.85722,43.24230,
1331,CONCESSION at EAST 13TH,-79.86131,43.24321,
1330,CONCESSION at EAST 13TH,-79.86131,43.24321,
1333,CONCESSION at EAST 15TH,-79.85976,43.24282,
1334,CONCESSION at EAST 15TH,-79.85976,43.24282,
1336,CONCESSION at EAST 17TH,-79.85739,43.24226,
1335,CONCESSION at EAST 17TH,-79.85739,43.24226,
1338,CONCESSION at EAST 22ND,-79.85226,43.24096,
1339,CONCESSION at EAST 24TH,-79.84953,43.24031,
1340,CONCESSION at EAST 26TH,-79.84747,43.23978,
355745,CONCESSION at EAST 31ST,-79.84323,43.23870,
1342,CONCESSION at EAST 33RD,-79.84184,43.23836,
1344,CONCESSION at EAST 36TH,-79.83885,43.23778,
1345,CONCESSION at EAST 36TH,-79.83910,43.23772,
1346,CONCESSION at EAST 38TH,-79.83726,43.23730,
1327,CONCESSION at HAMILTON,-79.84999,43.24056,
1347,CONCESSION at JURAVINSKI HOSPITAL,-79.84514,43.23928,
1348,CONCESSION at MOUNTAIN PARK,-79.83646,43.23724,
1349,CONCESSION at POPLAR,-79.84786,43.24000,
1354,CONCESSION at SUMMIT,-79.85234,43.24113,
355818,CONCESSION at UPPER GAGE,-79.83528,43.23687,
1351,CONCESSION at UPPER SHERMAN,-79.84437,43.23894,
1350,CONCESSION at UPPER SHERMAN,-79.84362,43.23890,
1352,CONCESSION at UPPER WELLINGTON,-79.86445,43.24403,
1353,CONCESSION at UPPER WELLINGTON,-79.86445,43.24403,
1356,CONCESSION at UPPER WENTWORTH,-79.85438,43.24145,
355276,CONCESSION at UPPER WENTWORTH,-79.85438,43.24145,
1328,CONCESSION opposite EAST 11TH,-79.86333,43.24383,
1329,CONCESSION opposite EAST 11TH,-79.86333,43.24383,
1332,CONCESSION opposite EAST 13TH,-79.86080,43.24320,
1337,CONCESSION opposite EAST 19TH,-79.85520,43.24182,
1343,CONCESSION opposite EAST 33RD,-79.84141,43.23840,
356095,CONFEDERATION GO at PLATFORM 4,-79.75987,43.24248,
1358,COOTES at DUNDAS,-79.94470,43.26543,
1359,COOTES at EAST,-79.94530,43.26549,
1360,COOTES at KING,-79.94936,43.26557,
1841,COOTES at WEST,-79.94977,43.26543,
356087,DARTNALL opposite SPCA,-79.83438,43.18429,
1361,DAVIDSON at GOVERNORS,-79.98631,43.25710,
1363,DELAWARE at BURRIS,-79.84546,43.24701,
356013,DELAWARE at GLADSTONE,-79.84729,43.24738,
1364,DELAWARE at HOLTON,-79.84379,43.24645,
1365,DELAWARE at HOLTON,-79.84353,43.24651,
1366,DELAWARE at MYRTLE,-79.84921,43.24783,
1368,DELAWARE at SANFORD,-79.84797,43.24765,
1369,DELAWARE at SHERMAN,-79.84094,43.24576,
1370,DELAWARE at WENTWORTH,-79.85031,43.24824,
1371,DENLOW opposite PLEASANT,-79.89934,43.24183,
1372,DEPEW at BEACH,-79.81952,43.25676,
1373,DEPEW at BURLINGTON,-79.81733,43.26144,
1374,DEPEW at BURLINGTON,-79.81742,43.26177,
1375,DEPEW at GERTRUDE,-79.81865,43.25863,
1376,DEPEW at GERTRUDE,-79.81851,43.25862,
1377,DEPEW at INDUSTRIAL,-79.81685,43.26315,
1378,DEWITT at ARVIN,-79.70805,43.22755,
355312,DISCOVERY at HWT CENTRE,-79.86056,43.27753,
355313,DISCOVERY at PIER 8,-79.86026,43.27625,
1379,DUKE at MACNAB,-79.87232,43.25198,
356066,DUKE at PARK,-79.87421,43.25246,
355876,DUNDAS at BAYVIEW,-79.90330,43.32439,
355877,DUNDAS at BERRY HILL,-79.89884,43.32820,
356097,DUNDAS at BURKE,-79.88487,43.33989,
355856,DUNDAS at BURKE,-79.88435,43.34009,
355875,DUNDAS at DENNIS,-79.90623,43.32182,
355364,DUNDAS at FIRST,-79.88782,43.33759,
355344,DUNDAS at HAMILTON,-79.89599,43.33077,
355878,DUNDAS at HAMILTON,-79.89537,43.33113,
355348,DUNDAS at HOLLYBUSH,-79.90877,43.31986,
